Search Term,均值,方差,斜率
rtx 3070,586.1688,0.0574,"{'8': 0.371, '11': 0.949, '5': 0.463}"
airpod case,310.7241,0.0602,"{'10': 0.191, '2': 0.121, '5': 0.418, '7': 0.309}"
animal kingdom,1466.0137,0.0979,"{'11': 0.384, '4': 0.143}"
gifts for men,307.7489,0.0964,"{'8': 0.325, '5': 0.16}"
baby gate,507.4106,0.0566,"{'8': 0.237, '11': 0.516, '4': 0.08}"
rick and morty,1451.8375,0.1135,"{'10': 0.461, '5': 0.367}"
electric scooter,558.6621,0.0918,"{'8': 0.35, '2': 0.142, '11': 0.144}"
smile.amazon,686.5554,0.0617,"{'9': 0.722, '11': 0.432}"
toaster,322.1946,0.0637,"{'11': 0.551, '5': 0.141, '7': 0.295}"
farmhouse decor,468.6329,0.0748,"{'8': 0.68, '11': 0.665, '6': 0.084}"
swimming pool,4892.9974,0.1116,{'11': 0.638}
wedding dress,1260.9566,0.0694,"{'2': 0.68, '11': 0.598, '5': 0.205}"
marvel legends,391.2493,0.0527,"{'8': 0.178, '11': 0.298, '4': 0.08}"
shoes for woman,272530.291,0.0981,"{'3': 0.445, '9': 0.431, '11': 0.532, '5': 0.449}"
shoe storage,795.7,0.0713,"{'11': 0.527, '5': 0.176}"
gaming monitor,513.7491,0.0529,"{'10': 0.617, '2': 0.356, '6': 0.167}"
sports bra,827.7956,0.087,"{'2': 0.15, '11': 0.698, '5': 0.158}"
hair clips for women,1494.3684,0.0763,"{'2': 0.187, '11': 0.642, '5': 0.277}"
food,441.3569,0.0475,{'11': 0.874}
dish drying rack,610.5589,0.0554,"{'11': 0.227, '6': 1.117}"
cat food,407.7571,0.0687,"{'3': 0.252, '11': 0.749, '7': 0.108}"
rtx 3060,1064.3025,0.0588,"{'8': 0.108, '11': 0.27, '5': 0.327}"
sundress,10813.5285,0.1035,{'11': 0.703}
ipad pro,547.2382,0.0639,"{'10': 0.376, '3': 0.289}"
kids headphones,2177.0106,0.103,"{'10': 0.417, '2': 0.153, '5': 0.062}"
paper plates,633.6285,0.0507,"{'11': 0.564, '6': 0.731}"
bento box,1195.7087,0.0797,"{'11': 0.38, '6': 0.794}"
corset,260.7388,0.0779,"{'11': 0.567, '6': 0.607}"
swimsuit,4261.4496,0.1023,{'10': 0.684}
fire stick,292.0984,0.0636,"{'10': 0.323, '5': 0.264}"
baby wipes,375.2845,0.0515,"{'11': 0.946, '6': 0.211}"
electric toothbrush,503.0997,0.0526,"{'11': 0.151, '6': 1.029}"
socks,716.8234,0.1023,"{'2': 0.089, '11': 0.501, '7': 0.818}"
spongebob,692.4226,0.0851,"{'11': 0.495, '4': 0.061, '6': 0.214}"
cocomelon,310.9504,0.0565,"{'9': 0.057, '5': 0.18, '7': 0.067}"
bath towels,466.1419,0.0599,"{'2': 0.152, '11': 0.402, '4': 0.096}"
diamond painting,406.8167,0.1054,{'10': 0.453}
y2k,1311.7401,0.0805,"{'8': 0.614, '10': 0.86, '2': 0.367}"
camping gear,819.1326,0.1015,{'11': 0.534}
sofa,666.5428,0.0732,{'10': 0.918}
key chain,2107.1903,0.1072,"{'2': 0.29, '11': 0.171}"
dorm room essentials,3552.0761,0.0923,"{'10': 0.558, '3': 0.125}"
office decor,938.2015,0.0639,"{'2': 0.226, '11': 0.861, '5': 0.201}"
weights,386.874,0.0842,{'11': 0.533}
futon,473.9135,0.067,"{'2': 0.153, '11': 0.666, '5': 0.122}"
rings for women,554.9952,0.0613,"{'10': 0.304, '6': 0.299}"
lunch bag women,180927.3335,0.1538,{'5': 0.603}
dresser for bedroom,10433.2941,0.0885,{'7': 0.22}
xbox,545.1152,0.0539,"{'8': 0.409, '11': 0.377, '5': 0.266}"
electric bike,672.853,0.087,"{'2': 0.379, '11': 0.496, '6': 0.281}"
backpack purse,3496.549,0.0889,{'11': 0.277}
webcam,498.9366,0.0759,"{'11': 0.669, '6': 0.197}"
iphone charger 10ft,54433.2403,0.1317,"{'8': 0.498, '2': 1.005, '11': 0.748, '6': 0.458}"
bean bag chairs,5459.8804,0.1716,"{'2': 0.221, '4': 0.265}"
garden hose,1455.9149,0.1322,{'11': 0.867}
golf balls,768.8226,0.0823,{'11': 0.305}
mousepad,1851.6391,0.0726,"{'2': 0.288, '11': 0.514}"
leggings for women,212.8143,0.0666,"{'11': 0.072, '7': 0.758}"
backpacks for school,86206.3991,0.0994,"{'11': 0.232, '5': 0.185}"
2 piece outfits for women,965.8866,0.079,{'11': 0.705}
neon sign,2156.1889,0.1315,"{'2': 0.27, '11': 0.122, '5': 0.375}"
coffee makers,7457.4864,0.0742,"{'10': 0.367, '2': 0.206, '4': 0.212, '6': 0.248}"
crystals,471.4108,0.0709,"{'10': 0.144, '6': 0.168}"
ottoman,623.5979,0.0515,"{'11': 0.281, '6': 0.657}"
womens summer dresses,13483.991,0.1256,{'11': 0.668}
journal,629.9172,0.0475,{'11': 1.132}
mascara,571.7996,0.0484,"{'11': 0.2, '7': 0.969}"
packing cubes,1756.307,0.0706,"{'11': 0.217, '6': 0.094}"
dinosaur toys,763.7786,0.0589,"{'9': 0.119, '6': 0.138}"
floor lamps,1798.9088,0.11,"{'11': 0.503, '5': 0.259}"
shirts for women,605.6239,0.0655,"{'2': 0.334, '11': 0.767}"
gift card,274.9228,0.0986,"{'10': 0.599, '7': 0.623}"
shampoo,446.9298,0.0493,"{'3': 0.142, '11': 0.974, '7': 0.114}"
fanny pack,1120.6879,0.0812,"{'11': 0.521, '7': 0.868}"
apple watch bands,462.4682,0.0635,"{'10': 0.333, '4': 0.169}"
body pillow,527.0233,0.0549,"{'10': 0.282, '6': 0.131}"
transformers,378.4815,0.0509,"{'11': 0.697, '4': 0.182}"
flashlight,1828.904,0.0633,"{'8': 0.499, '5': 0.132}"
mens shorts,1286.9962,0.1126,{'11': 0.677}
hand soap,545.4976,0.0528,"{'11': 0.895, '6': 0.29}"
women's sandals,2278.2273,0.1321,{'11': 0.833}
bed frame,373.4057,0.0939,"{'8': 0.331, '2': 0.99, '11': 0.509, '6': 0.429}"
lego star wars,490.3671,0.0641,"{'8': 0.337, '11': 0.578, '4': 0.189}"
roller skates,1647.432,0.0653,{'10': 0.412}
wallet for men,6118.5522,0.1615,"{'2': 0.178, '4': 0.142}"
jbl bluetooth speaker,1148.0486,0.085,"{'8': 0.325, '10': 0.087, '2': 0.232}"
neck fan,7759.2393,0.1029,{'11': 0.521}
peppa pig,434.3733,0.0508,"{'9': 0.064, '5': 0.138}"
new balance mens shoes,463.3607,0.0509,"{'8': 0.778, '2': 0.171, '11': 0.238}"
boho decor,773.3692,0.0643,"{'11': 0.544, '5': 0.129}"
ebt eligible food items free shipping,784.4104,0.059,"{'11': 0.397, '4': 0.095}"
biker shorts for women high waist,22721.0965,0.0753,"{'3': 1.195, '11': 0.236, '6': 0.322}"
free kindle books,617.0583,0.0586,"{'8': 0.211, '11': 0.712, '6': 0.253}"
ssd,480.7249,0.0657,{'10': 0.161}
flip flops for women,4089.6184,0.1132,"{'11': 0.323, '4': 0.889, '6': 0.199}"
high waisted bikini set,253721.6151,0.0954,"{'10': 0.119, '4': 0.474}"
jansport,17539.529,0.1075,"{'2': 0.293, '11': 0.386, '5': 0.122}"
chicken,623.9102,0.0807,{'10': 0.886}
night light,632.8311,0.0553,"{'11': 0.345, '6': 0.342}"
pool accessories,8846.4235,0.1257,{'11': 0.511}
classroom decor,8791.208,0.0908,"{'11': 0.944, '4': 0.124}"
ring camera,1879.5963,0.0614,"{'10': 0.158, '4': 0.749, '7': 0.175}"
fake nails,682.4788,0.0615,"{'8': 0.142, '11': 0.572, '6': 0.198}"
cereal,533.0188,0.0475,{'11': 0.847}
cat litter,390.3404,0.0614,"{'11': 0.812, '7': 0.134}"
bathroom storage,672.9194,0.0671,"{'11': 0.659, '4': 0.154, '6': 0.158}"
clothes,955.5781,0.0486,"{'10': 0.435, '6': 0.203}"
kayak,1527.664,0.0929,{'11': 0.674}
hot wheels,570.2726,0.0957,"{'5': 0.196, '7': 0.336}"
toothbrush,989.8175,0.0988,"{'2': 0.27, '11': 0.203, '6': 0.572}"
a quiet place,9907.7922,0.1254,"{'11': 0.496, '4': 0.434}"
essential oils,409.8015,0.0671,"{'11': 0.633, '6': 0.286}"
mattress topper,1771.6417,0.1012,"{'2': 0.695, '11': 0.179, '5': 0.269}"
womens sandals,2575.9427,0.1203,{'11': 0.705}
ear wax removal,765.8735,0.0624,"{'11': 0.432, '5': 0.429}"
beach chair,3661.8538,0.0941,{'11': 0.531}
echo dot,509.9242,0.0732,"{'10': 0.278, '3': 0.272}"
school backpack,10742.8841,0.1036,"{'11': 0.3, '5': 0.172}"
duffle bag,2099.1487,0.071,"{'2': 0.641, '11': 0.13}"
mystery box,1341.9029,0.0846,"{'10': 0.303, '5': 0.247}"
acrylic nail kit,689.3116,0.0731,{'10': 0.188}
toddler bed,535.5037,0.0589,"{'11': 0.606, '6': 0.071}"
side table,612.6994,0.0561,"{'11': 0.48, '6': 0.386}"
muddy bites,92927.8744,0.1066,"{'3': 0.738, '11': 0.111, '5': 0.484}"
airpod pro case,452.2263,0.1122,"{'11': 0.158, '6': 0.265}"
luca,136256.7796,0.1184,{'4': 0.257}
lunch bag,1272.1172,0.105,"{'2': 0.174, '11': 0.61, '6': 0.312}"
pepper spray,478.5893,0.0625,"{'11': 0.731, '7': 0.136}"
bts,685.0973,0.0668,"{'10': 0.236, '3': 0.141}"
shark movies,4015.123,0.1135,"{'11': 0.784, '4': 0.05}"
coffee maker,135.0364,0.0708,"{'11': 0.127, '5': 0.449, '7': 0.796}"
legos,564.1805,0.0664,"{'8': 0.827, '10': 0.633, '5': 0.143}"
portable fan,5492.2594,0.1033,{'11': 0.637}
water balloons,10960.1752,0.1216,{'11': 0.882}
xbox one controllers,23568.6924,0.1473,{'3': 0.203}
hydroflask,1464.1704,0.0771,"{'10': 0.392, '4': 0.287}"
baby toys,652.9958,0.074,"{'9': 0.131, '5': 0.144}"
samsung galaxy s21 + case,66576.8975,0.0996,{'11': 0.84}
kawaii,814.8915,0.0526,"{'8': 1.016, '10': 0.13}"
lol surprise dolls,528.9871,0.0648,"{'9': 0.118, '5': 0.328}"
solar outdoor lights,6666.4231,0.1238,{'2': 0.328}
jack ryan,897.7073,0.0499,"{'11': 0.941, '4': 0.139, '6': 0.383}"
summer tops for women,12291.4587,0.1179,{'11': 0.62}
hangers,463.5509,0.0668,"{'2': 0.425, '11': 0.623, '6': 0.085}"
portable phone charger,7470.825,0.1108,{'11': 0.385}
purse,627.9393,0.0585,"{'10': 0.091, '5': 0.108}"
jumpsuit for women casual summer,56719.8734,0.1021,{'9': 0.747}
rompers for women dressy summer,54135.4,0.0825,{'9': 0.971}
queen mattresses,54690.2502,0.0889,{'4': 0.393}
fake plants,529.8174,0.0669,"{'11': 0.503, '6': 0.096}"
converse shoes women,328.749,0.0961,"{'8': 0.726, '11': 0.19}"
shampoo and conditioner set,652.6566,0.0518,"{'11': 0.653, '5': 0.086}"
litter box,705.9803,0.0718,"{'8': 0.24, '11': 0.703, '6': 0.257}"
spice rack,708.5852,0.0526,"{'11': 0.349, '6': 0.531}"
seat covers,795.7597,0.0807,{'11': 0.639}
duvet cover,846.3062,0.0733,"{'11': 0.153, '6': 0.089}"
hair dryer,429.6818,0.0757,"{'11': 0.444, '7': 0.238}"
shelf,580.5283,0.0525,"{'11': 0.661, '6': 0.119}"
pantry organization and storage,487.1272,0.0613,"{'11': 0.808, '7': 0.122}"
iphone x case,623.8714,0.0557,"{'11': 0.723, '5': 0.256}"
amazonbasics,347.4222,0.0732,"{'8': 0.16, '10': 0.628}"
weighted blanket,685.2864,0.0941,"{'4': 0.181, '6': 0.891}"
yogurt,547.679,0.0515,"{'11': 1.035, '6': 0.12}"
shorts,1915.2213,0.123,{'11': 0.781}
humidifiers,403.9652,0.1077,{'8': 0.161}
bra,1532.6219,0.0726,"{'11': 0.597, '5': 0.132}"
drone,491.9393,0.0479,"{'10': 0.094, '7': 1.007}"
board games,501.6769,0.0747,"{'9': 0.129, '5': 0.216}"
airpods case,184.64,0.0633,"{'11': 0.143, '7': 0.829}"
alien,793.1202,0.0867,"{'11': 0.476, '4': 0.372, '6': 0.396}"
clear backpack,3208.8754,0.0765,"{'11': 0.216, '6': 1.116}"
stress balls,741.1847,0.0736,{'11': 0.489}
gua sha,1091.811,0.1127,{'10': 0.173}
toilet paper holder,647.1287,0.0549,"{'11': 0.398, '6': 0.641}"
headband,1602.0808,0.0715,"{'8': 0.173, '11': 0.882, '5': 0.224}"
storage cabinet,722.2113,0.0551,"{'11': 0.65, '6': 0.097}"
bed frames,1770.8223,0.0827,"{'11': 0.537, '4': 0.249}"
chlorine tablets,13106.4164,0.1492,"{'2': 0.142, '11': 0.931}"
jewelry organizer,341.5832,0.068,"{'8': 0.636, '10': 0.142}"
jansport backpack,2149.5691,0.0952,"{'2': 0.263, '11': 0.316, '5': 0.166}"
airpod cases,3667.5349,0.0999,"{'10': 0.242, '2': 0.333, '4': 0.704, '6': 0.908}"
funko,1570.4794,0.0947,"{'9': 0.359, '11': 0.826, '5': 0.293}"
toddler toys,693.6288,0.0724,"{'9': 0.101, '5': 0.12}"
colored pencils,1170.9215,0.0584,"{'10': 0.237, '6': 0.76}"
iphone xr,578.751,0.0623,"{'11': 0.542, '6': 0.123}"
binder,1372.1998,0.1015,"{'3': 0.128, '11': 0.813, '6': 0.2}"
jurassic park,1394.1031,0.107,"{'10': 0.432, '4': 0.329}"
twilight,1344.2016,0.1129,{'11': 0.551}
christmas decorations,9216.118,0.1059,{'2': 0.701}
closet storage,3255.1671,0.0783,"{'3': 0.272, '11': 0.655}"
coasters,994.3075,0.0696,"{'2': 0.165, '11': 0.682, '6': 0.235}"
ps4 games,451.5803,0.0751,"{'10': 0.339, '2': 0.193, '5': 0.22, '7': 0.229}"
kids backpack,10161.8639,0.0988,"{'10': 0.325, '5': 0.163}"
baby monitor,643.8656,0.0578,{'11': 0.705}
underwear women,5963.9522,0.0831,{}
aaa batteries,823.4971,0.0566,"{'8': 0.972, '11': 0.226, '5': 0.308}"
aesthetic room decor,1095.2476,0.0636,"{'11': 0.212, '5': 0.73}"
knife set,584.0079,0.0576,"{'10': 0.178, '2': 0.243}"
batman,555.0396,0.0673,"{'11': 0.676, '6': 0.111}"
nightstand,909.3951,0.0689,"{'8': 0.121, '10': 1.333, '2': 0.108, '5': 0.204}"
peel and stick wallpaper,456.8272,0.049,"{'8': 0.172, '11': 0.885}"
malayalam movies 2021,500.682,0.1143,{'11': 0.654}
computer,550.0452,0.0657,{'10': 0.151}
vestidos elegantes de mujer para fiesta,339.6026,0.1732,{'10': 0.307}
beach umbrellas,71798.2892,0.1492,{'11': 1.311}
switch games,507.2732,0.0685,"{'9': 0.136, '2': 0.19, '5': 0.349}"
sandals women,32218.653,0.0953,{}
comforter,1067.4288,0.0827,"{'10': 0.435, '5': 0.14}"
cricut,632.3241,0.048,"{'8': 0.863, '5': 0.104}"
nespresso pods,587.1162,0.0567,"{'8': 0.231, '3': 0.244, '11': 0.297}"
camping chairs,3374.5106,0.1026,{'11': 0.157}
fairy lights,615.7863,0.0575,"{'10': 0.061, '6': 0.689}"
macbook pro 13 inch case,871.2813,0.0788,"{'8': 0.572, '11': 0.156, '4': 0.693}"
vegetable chopper,3114.179,0.0805,"{'10': 0.35, '4': 0.185}"
shoe organizer,419.5731,0.0719,"{'2': 0.198, '11': 0.325, '7': 0.366}"
kitchen gadgets,697.6614,0.0917,"{'9': 0.501, '2': 0.494, '6': 0.416}"
nails,885.8796,0.0642,{'11': 0.544}
apple watch charger,766.5664,0.0525,"{'2': 0.419, '11': 0.307, '6': 0.685}"
table,641.2869,0.0579,"{'2': 0.081, '11': 0.525, '7': 0.142}"
roblox,566.8903,0.0612,"{'10': 0.346, '6': 0.281}"
beads,1312.7927,0.0987,"{'3': 0.222, '11': 0.295}"
refrigerators,3452.9007,0.1601,"{'11': 0.092, '4': 0.072}"
wireless headphones,393.5348,0.0727,"{'10': 0.223, '3': 0.444, '6': 0.328}"
trash can,502.9428,0.0679,"{'2': 0.119, '11': 0.579, '6': 0.229}"
cat litter box,1088.0686,0.0517,"{'11': 0.33, '5': 0.871}"
queen bed frame,486.6918,0.0631,"{'8': 0.257, '2': 1.072, '11': 0.087, '6': 0.223}"
compression socks,1473.1756,0.0669,"{'2': 0.36, '11': 0.41, '5': 0.148}"
croc charms,1038.2377,0.0742,"{'8': 0.073, '2': 0.642, '11': 0.105}"
iphone 12 mini case,890.7557,0.0619,"{'2': 0.401, '11': 0.362, '4': 0.255, '6': 0.613}"
nail stickers,1459.6214,0.0501,"{'11': 0.278, '6': 0.776}"
jackass,5281.3545,0.0738,"{'10': 0.355, '3': 0.534}"
teeth whitening,618.1929,0.0598,{'11': 0.589}
outdoor rugs,8720.4872,0.0963,{'11': 0.937}
tevas woman's sandals,70819.1797,0.0961,"{'8': 0.24, '10': 0.144, '5': 0.618}"
rtx 3090,972.6325,0.0709,"{'8': 0.236, '11': 0.817, '5': 0.427}"
laptops,449.8767,0.0871,"{'10': 0.364, '3': 0.301}"
my hero academia,600.4844,0.0529,"{'10': 0.439, '4': 0.337}"
hindi movies 2021,246.5567,0.1692,{'11': 0.517}
macbook,616.0772,0.0715,"{'8': 0.148, '11': 0.416, '4': 0.248}"
milwaukee tools,638.55,0.0474,"{'11': 0.243, '7': 0.931}"
canopy,2752.5767,0.108,{'11': 0.716}
dog collar,277.0506,0.0606,"{'2': 0.284, '11': 0.566, '7': 0.625}"
probiotics for women,1160.3539,0.0525,"{'11': 0.308, '6': 1.039}"
resin mold,2673.2489,0.0969,"{'2': 0.554, '11': 0.27, '4': 0.835, '6': 1.133}"
graphic tees,2950.2399,0.0952,"{'11': 0.425, '4': 0.658, '6': 0.67}"
skirts,1165.8171,0.0818,"{'2': 0.268, '11': 0.613, '5': 0.158}"
liquid iv,1160.8712,0.0857,"{'11': 0.675, '5': 0.18}"
gloves,575.9906,0.0658,"{'3': 0.561, '11': 0.311, '6': 0.261}"
iphone 12 pro screen protector,2987.0646,0.0548,"{'11': 0.718, '6': 0.294}"
gel blaster,14721.5998,0.1152,{'11': 0.06}
headset,808.6187,0.0715,{'10': 0.188}
plastic storage bins,930.596,0.0505,"{'11': 0.831, '4': 0.094, '6': 0.186}"
silverware set,1257.7499,0.0629,"{'11': 0.077, '6': 1.008}"
swimsuit cover up,17885.6505,0.1127,"{'11': 0.525, '4': 0.139}"
spray bottles,838.5256,0.0485,{'11': 0.776}
makeup brushes set,15878.4922,0.1303,"{'10': 0.107, '2': 0.096, '5': 0.471}"
tankini bathing suits for women,100287.4169,0.1067,{}
hello kitty,906.1895,0.0523,"{'11': 1.033, '7': 0.513}"
kimonos for women,3231.0329,0.0967,{'11': 0.426}
iphone cable,7157.5694,0.0685,"{'11': 0.445, '4': 0.46, '6': 0.547}"
living room decor,824.4236,0.0506,"{'8': 0.222, '2': 0.101, '11': 0.791, '6': 0.138}"
boss baby,4690.1407,0.094,"{'11': 0.666, '4': 0.177}"
yellowstone,997.4029,0.0861,"{'10': 0.517, '4': 0.215}"
chocolate,845.0142,0.0848,"{'8': 1.155, '10': 0.908}"
car seat cover,4317.6842,0.1453,"{'2': 0.186, '11': 0.069, '6': 0.381}"
composition notebooks,62307.0328,0.153,{'2': 0.206}
trampoline,878.7158,0.1233,"{'8': 0.343, '10': 0.421}"
face masks,554.4434,0.0785,"{'11': 0.572, '6': 0.505}"
womens underwear,747.7939,0.0683,"{'8': 0.203, '3': 0.275, '11': 0.452, '6': 0.114}"
pill organizer,906.8894,0.0616,"{'11': 0.2, '6': 1.203}"
the boys,733.1907,0.0565,"{'8': 0.12, '11': 1.278}"
oculus quest 2,483.5532,0.0823,"{'9': 0.371, '2': 0.503, '5': 0.39}"
cerave,650.7313,0.0766,{'11': 0.572}
sundresses for women,58326.4556,0.092,{}
diffuser,959.7337,0.0681,"{'11': 0.18, '6': 0.579}"
first aid kit,1226.7215,0.0523,"{'8': 0.128, '2': 0.117, '11': 0.698}"
keurig coffee maker,496.4909,0.0752,"{'5': 0.209, '7': 0.412}"
micro sd card,524.1736,0.0565,"{'8': 0.838, '11': 0.159}"
contact paper,965.8459,0.0543,"{'11': 0.804, '6': 0.14}"
l shaped desk,875.4982,0.0634,"{'11': 0.37, '6': 0.474}"
collagen powder,630.2806,0.0481,{'11': 0.901}
michael kors handbags,632.099,0.0594,"{'10': 0.409, '6': 0.231}"
true and co bras for women,10991.3287,0.0578,{'11': 0.38}
kitchen,643.617,0.0754,"{'11': 0.667, '5': 0.201, '7': 0.321}"
deals of the day,737.3681,0.0742,"{'11': 0.217, '5': 0.244}"
fanny pack for women fashionable,114828.5112,0.1328,{'9': 0.282}
mini dress,4128.3944,0.0591,"{'9': 0.148, '11': 0.945, '6': 0.074}"
umbrella,736.5002,0.0848,"{'2': 0.497, '11': 0.82, '7': 0.118}"
blow dryer,1710.5339,0.0463,"{'11': 0.243, '6': 0.748}"
beds,854.1906,0.0626,"{'2': 0.071, '11': 0.507}"
smart tv,696.4914,0.0509,{'10': 1.135}
fast and furious 9,70749.287,0.1457,{'3': 0.329}
pool float,10680.0133,0.1487,{'11': 0.561}
grand tour,1760.4655,0.0665,"{'11': 0.177, '6': 0.622}"
curtain,3065.4264,0.0885,"{'2': 0.192, '11': 0.469, '4': 0.2}"
beyblade,1211.2877,0.0729,"{'8': 0.137, '10': 0.067, '6': 0.246}"
polygel nail kit,859.9204,0.0782,"{'11': 0.569, '5': 0.228}"
pillow,569.6777,0.0593,{'10': 0.295}
skechers shoes for men,12292.9373,0.1379,{'10': 0.262}
pool vacuum,7719.9146,0.0844,{'11': 0.542}
sunset lamp,22346.3077,0.0758,{}
phone mount for car,23142.7962,0.1488,{'5': 0.229}
mens socks,861.9363,0.0672,"{'9': 0.109, '6': 0.489}"
boxing gloves,857.3862,0.0738,"{'11': 0.548, '4': 0.12}"
cookies,608.6786,0.0518,{'11': 0.902}
office desk,727.7016,0.0521,"{'11': 0.516, '6': 0.463}"
waxing kit,910.9183,0.069,"{'2': 0.1, '11': 0.553}"
star wars,522.4574,0.0825,"{'10': 0.163, '4': 0.162}"
hair extensions,801.6969,0.0542,"{'11': 0.51, '6': 0.365}"
can opener,764.732,0.06,"{'10': 0.312, '6': 0.312}"
wall clock,767.7762,0.0463,"{'2': 0.101, '11': 0.307, '6': 0.522}"
amazon prime,1847.7004,0.0946,"{'11': 0.534, '6': 0.168}"
markers,1054.5126,0.0746,"{'10': 0.127, '6': 0.174}"
weight loss,828.6503,0.0594,"{'8': 0.17, '11': 0.983}"
anime figure,1288.6725,0.0554,"{'10': 0.448, '2': 0.151, '5': 0.056}"
sex toys for women vibrating machine,13683.3712,0.0762,{'8': 1.482}
halloween decor,30596.5224,0.1045,"{'11': 1.093, '4': 0.096}"
leggings,279.6709,0.104,{'7': 0.194}
christian movies,1127.027,0.0629,"{'11': 0.868, '6': 0.084}"
halloween,1401.1694,0.1095,"{'11': 0.366, '4': 0.081, '6': 0.24}"
cheese,693.3203,0.0537,"{'11': 0.355, '7': 0.983}"
fortnite,636.6204,0.0758,"{'8': 0.186, '6': 0.203}"
canning lids,3732.1346,0.0636,{'11': 1.11}
back to school supplies,76420.6397,0.0868,"{'11': 0.719, '5': 0.12}"
lip gloss,1030.6378,0.0633,"{'8': 0.316, '11': 0.559}"
laundry hamper,748.0061,0.0845,"{'3': 0.841, '11': 0.418, '6': 0.172}"
record player,642.4802,0.0601,"{'8': 0.113, '10': 0.348, '3': 0.297, '6': 0.487}"
tomatoes,766.3671,0.0547,{'11': 0.947}
pots and pans set,640.1921,0.0694,"{'10': 0.238, '2': 0.175}"
hammock,911.6927,0.0909,"{'11': 0.98, '7': 0.869}"
beats headphones,811.8622,0.0627,"{'8': 0.53, '5': 0.093}"
clearance items,986.8711,0.0599,"{'11': 0.622, '5': 0.583}"
slippers for women,2526.7331,0.1244,{'6': 0.352}
mens sunglasses,1980.5494,0.0721,{'11': 0.3}
iphone 11 pro case,558.6959,0.0729,"{'11': 0.411, '6': 0.268}"
blanket,471.6,0.0948,{'6': 0.058}
loki,15886.6429,0.0754,"{'11': 0.113, '5': 0.146}"
air purifier,478.8354,0.1046,"{'11': 0.547, '4': 0.357, '7': 0.497}"
laptop backpack,2462.3542,0.0648,"{'11': 0.168, '4': 0.93}"
mason jars,753.63,0.0462,{'11': 0.922}
mechanical pencil,3143.9425,0.0631,"{'3': 0.241, '11': 0.074, '6': 0.072}"
polo shirts for men,1366.0135,0.0855,"{'8': 1.096, '11': 0.194}"
automotive seat covers,7880.9333,0.0591,"{'10': 0.58, '2': 0.212, '5': 0.115}"
macbook air,845.8747,0.0525,"{'10': 0.338, '6': 0.157}"
tomorrow war,2047.25,0.1313,{'11': 0.501}
wedding decorations,2473.797,0.083,{'11': 0.584}
budget binder,3318.3014,0.0876,"{'2': 0.369, '11': 0.415, '4': 0.256}"
speaker,631.7242,0.0512,"{'10': 0.203, '5': 0.137}"
usa,1921.502,0.0763,"{'8': 0.565, '10': 0.802, '3': 0.219}"
pool toys,3780.83,0.1267,{'10': 0.492}
gel nail polish kit with uv light,1049.5971,0.0608,"{'10': 0.218, '5': 0.117}"
gym bag,1290.8242,0.0608,"{'2': 0.277, '11': 0.454, '6': 0.151}"
bedroom furniture,1136.2446,0.0718,"{'2': 0.241, '11': 0.517, '6': 0.189}"
ice cube tray,1638.4536,0.0606,"{'2': 0.08, '11': 0.497, '6': 0.856}"
bed,1079.3665,0.0558,{'10': 0.73}
car air fresheners,1368.9389,0.066,"{'11': 0.668, '5': 0.079}"
cover ups for women,64977.0856,0.1233,{'11': 0.665}
polaroid cameras,131307.4456,0.2111,"{'2': 0.153, '5': 0.527}"
nail art,1193.8593,0.0498,{'11': 0.775}
swimsuit coverup for women,628.9011,0.1045,{'11': 0.775}
nerf,703.4535,0.0611,"{'10': 0.171, '2': 0.26, '5': 0.091}"
hdmi cables,7500.7901,0.1038,"{'2': 0.426, '5': 0.32}"
keychain,419.6473,0.0668,"{'11': 0.329, '6': 0.596}"
pop it pack,8130.1374,0.0732,{}
wig,815.6008,0.0685,"{'8': 0.214, '11': 0.936}"
king bed frame,1675.2088,0.0735,"{'2': 0.467, '11': 0.112, '5': 0.88}"
watch,795.9991,0.065,"{'8': 0.234, '10': 0.452, '2': 0.152}"
golf,944.3843,0.0729,"{'10': 0.334, '5': 0.064}"
end table,858.4835,0.0559,"{'2': 0.254, '11': 0.457, '6': 0.479}"
dog crate,791.2723,0.0711,"{'11': 0.508, '6': 0.298}"
mop,1324.6908,0.0838,"{'10': 0.853, '7': 0.583}"
pencil pouches,95745.6154,0.1265,"{'2': 0.147, '11': 0.509, '5': 0.174}"
vibrators,852.9086,0.0897,{'11': 0.543}
wrap dress,2921.4776,0.0667,{'11': 0.466}
beach dresses for women,22598.9046,0.0979,"{'2': 0.681, '11': 0.134}"
pencils,1737.6354,0.0963,"{'11': 0.604, '6': 0.346}"
graphic tees for women,4953.7807,0.0862,{'6': 1.16}
coffee grinder,611.1088,0.0673,{'11': 0.518}
ipad air,1002.6147,0.0708,"{'10': 0.232, '6': 0.14}"
espresso machine,758.9872,0.0491,"{'10': 0.152, '5': 0.669}"
security camera,2963.3423,0.1119,"{'2': 0.324, '11': 0.194, '5': 0.174}"
manga,927.0123,0.0724,"{'10': 0.378, '7': 0.652}"
pajama set for women,3530.3699,0.0777,"{'11': 0.122, '6': 1.033}"
loungefly,926.61,0.0649,{'11': 0.222}
weighted hula hoop,2607.7357,0.0811,"{'11': 0.217, '6': 0.512}"
wild kratts,969.7553,0.0509,"{'11': 0.432, '6': 0.305}"
womens shoes,746.6284,0.0595,"{'10': 0.317, '2': 0.55, '6': 0.622}"
